code,name,market_code,market
060310,3S,KSQ,코스닥
095570,AJ네트웍스,STK,유가증권
006840,AK홀딩스,STK,유가증권
054620,APS,KSQ,코스닥
079810,APS이노베이션,KSQ,코스닥
265520,AP시스템,KSQ,코스닥
211270,AP위성,KSQ,코스닥
027410,BGF,STK,유가증권
282330,BGF리테일,STK,유가증권
126600,BGF에코머티리얼즈,KSQ,코스닥
138930,BNK금융지주,STK,유가증권
001460,BYC,STK,유가증권
083790,CG인바이츠,KSQ,코스닥
001040,CJ,STK,유가증권
079160,CJ CGV,STK,유가증권
035760,CJ ENM,KSQ,코스닥
311690,CJ 바이오사이언스,KSQ,코스닥
000120,CJ대한통운,STK,유가증권
011150,CJ씨푸드,STK,유가증권
097950,CJ제일제당,STK,유가증권
051500,CJ프레시웨이,KSQ,코스닥
058820,CMG제약,KSQ,코스닥
056730,CNT85,KSQ,코스닥
000480,CR홀딩스,STK,유가증권
065770,CS,KSQ,코스닥
083660,CSA 코스믹,KSQ,코스닥
000590,CS홀딩스,STK,유가증권
012030,DB,STK,유가증권
005830,DB손해보험,STK,유가증권
016610,DB증권,STK,유가증권
000990,DB하이텍,STK,유가증권
099520,DGI,KSQ,코스닥
000300,DH오토넥스,STK,유가증권
290120,DH오토리드,KSQ,코스닥
025440,DH오토웨어,KSQ,코스닥
001530,DI동일,STK,유가증권
015590,DKME,STK,유가증권
000210,DL,STK,유가증권
375500,DL이앤씨,STK,유가증권
068790,DMS,KSQ,코스닥
007340,DN오토모티브,STK,유가증권
004840,DRB동일,STK,유가증권
241520,DSC인베스트먼트,KSQ,코스닥
155660,DSR,STK,유가증권
069730,DSR제강,STK,유가증권
017860,DS단석,STK,유가증권
180400,DXVX,KSQ,코스닥
092780,DYP,STK,유가증권
017940,E1,STK,유가증권
418620,E8,KSQ,코스닥
245620,EDGC,KSQ,코스닥
037370,EG,KSQ,코스닥
050120,ES큐브,KSQ,코스닥
383220,F&F,STK,유가증권
007700,F&F홀딩스,STK,유가증권
214270,FSN,KSQ,코스닥
032620,GC메디아이,KSQ,코스닥
130500,GH신소재,KSQ,코스닥
114090,GKL,STK,유가증권
019570,GMI벤처,KSQ,코스닥
900290,GRT,KSQ,코스닥
078930,GS,STK,유가증권
083450,GST,KSQ,코스닥
006360,GS건설,STK,유가증권
001250,GS글로벌,STK,유가증권
007070,GS리테일,STK,유가증권
499790,GS피앤엘,STK,유가증권
297890,HB솔루션,KSQ,코스닥
440290,HB인베스트먼트,KSQ,코스닥
078150,HB테크놀러지,KSQ,코스닥
225530,HC보광산업,KSQ,코스닥
060560,HC홈센타,KSQ,코스닥
012630,HDC,STK,유가증권
039570,HDC랩스,STK,유가증권
089470,HDC현대EP,STK,유가증권
267270,HD건설기계,STK,유가증권
009540,HD한국조선해양,STK,유가증권
267250,HD현대,STK,유가증권
443060,HD현대마린솔루션,STK,유가증권
071970,HD현대마린엔진,STK,유가증권
322000,HD현대에너지솔루션,STK,유가증권
267260,HD현대일렉트릭,STK,유가증권
329180,HD현대중공업,STK,유가증권
376270,HEM파마,KSQ,코스닥
097230,HJ중공업,STK,유가증권
195940,HK이노엔,KSQ,코스닥
014790,HL D&I,STK,유가증권
028300,HLB,KSQ,코스닥
003580,HLB글로벌,STK,유가증권
278650,HLB바이오스텝,KSQ,코스닥
067630,HLB생명과학,KSQ,코스닥
024850,HLB이노베이션,KSQ,코스닥
187420,HLB제넥스,KSQ,코스닥
047920,HLB제약,KSQ,코스닥
115450,HLB테라퓨틱스,KSQ,코스닥
046210,HLB파나진,KSQ,코스닥
196300,HLB펩,KSQ,코스닥
204320,HL만도,STK,유가증권
060980,HL홀딩스,STK,유가증권
011200,HMM,STK,유가증권
403870,HPSP,KSQ,코스닥
036640,HRS,KSQ,코스닥
035000,HS애드,STK,유가증권
002460,HS화성,STK,유가증권
487570,HS효성,STK,유가증권
298050,HS효성첨단소재,STK,유가증권
015360,INVENI,STK,유가증권
294870,IPARK현대산업개발,STK,유가증권
095340,ISC,KSQ,코스닥
175330,JB금융지주,STK,유가증권
950170,JTC,KSQ,코스닥
234080,JW생명과학,STK,유가증권
067290,JW신약,KSQ,코스닥
001060,JW중외제약,STK,유가증권
096760,JW홀딩스,STK,유가증권
035900,JYP Ent.,KSQ,코스닥
318000,KBG,KSQ,코스닥
008970,KBI동양철관,STK,유가증권
024840,KBI메탈,KSQ,코스닥
105560,KB금융,STK,유가증권
415640,KB발해인프라,STK,유가증권
024120,KB오토시스,KSQ,코스닥
002380,KCC,STK,유가증권
021320,KCC건설,KSQ,코스닥
344820,KCC글라스,STK,유가증권
009070,KCTC,STK,유가증권
009440,KC그린홀딩스,STK,유가증권
119650,KC코트렐,STK,유가증권
044180,KD,KSQ,코스닥
092220,KEC,STK,유가증권
003620,KG모빌리티,STK,유가증권
016380,KG스틸,STK,유가증권
151860,KG에코솔루션,KSQ,코스닥
035600,KG이니시스,KSQ,코스닥
001390,KG케미칼,STK,유가증권
046440,KG파이낸셜,KSQ,코스닥
060720,KH바텍,KSQ,코스닥
001940,KISCO홀딩스,STK,유가증권
058400,KNN,KSQ,코스닥
025000,KPX케미칼,STK,유가증권
092230,KPX홀딩스,STK,유가증권
000040,KR모터스,STK,유가증권
044450,KSS해운,STK,유가증권
101000,KS인더스트리,KSQ,코스닥
030200,KT,STK,유가증권
033780,KT&G,STK,유가증권
058850,KTcs,STK,유가증권
058860,KTis,STK,유가증권
089600,KT나스미디어,KSQ,코스닥
418470,KT밀리의서재,KSQ,코스닥
043610,KT지니뮤직,KSQ,코스닥
122450,KX,KSQ,코스닥
052900,KX하이텍,KSQ,코스닥
036560,KZ정밀,KSQ,코스닥
061970,LB세미콘,KSQ,코스닥
309960,LB인베스트먼트,KSQ,코스닥
093050,LF,STK,유가증권
003550,LG,STK,유가증권
034220,LG디스플레이,STK,유가증권
051900,LG생활건강,STK,유가증권
064400,LG씨엔에스,STK,유가증권
373220,LG에너지솔루션,STK,유가증권
032640,LG유플러스,STK,유가증권
011070,LG이노텍,STK,유가증권
066570,LG전자,STK,유가증권
037560,LG헬로비전,STK,유가증권
051910,LG화학,STK,유가증권
079550,LIG디펜스앤에어로스페이스,STK,유가증권
073490,LIG아큐버,KSQ,코스닥
225190,LK삼양,KSQ,코스닥
006260,LS,STK,유가증권
010120,LS ELECTRIC,STK,유가증권
091970,LSK아이로봇,KSQ,코스닥
000680,LS네트웍스,STK,유가증권
060370,LS마린솔루션,KSQ,코스닥
417200,LS머트리얼즈,KSQ,코스닥
229640,LS에코에너지,STK,유가증권
078020,LS증권,KSQ,코스닥
322180,LS티라유텍,KSQ,코스닥
108320,LX세미콘,STK,유가증권
001120,LX인터내셔널,STK,유가증권
108670,LX하우시스,STK,유가증권
383800,LX홀딩스,STK,유가증권
476080,M83,KSQ,코스닥
086960,MDS테크,KSQ,코스닥
023150,MH에탄올,STK,유가증권
035420,NAVER,STK,유가증권
036570,NC,STK,유가증권
160550,NEW,KSQ,코스닥
053290,NE능률,KSQ,코스닥
181710,NHN,STK,유가증권
060250,NHN KCP,KSQ,코스닥
104200,NHN벅스,KSQ,코스닥
054050,NH농우바이오,KSQ,코스닥
005940,NH투자증권,STK,유가증권
034310,NICE,STK,유가증권
063570,NICE인프라,KSQ,코스닥
030190,NICE평가정보,STK,유가증권
008260,NI스틸,STK,유가증권
004250,NPC,STK,유가증권
456040,OCI,STK,유가증권
010060,OCI홀딩스,STK,유가증권
178920,PI첨단소재,STK,유가증권
001340,PKC,STK,유가증권
024940,PN풍년,KSQ,코스닥
005490,POSCO홀딩스,STK,유가증권
332570,PS일렉트로닉스,KSQ,코스닥
218410,RFHIC,KSQ,코스닥
327260,RF머트리얼즈,KSQ,코스닥
474610,RF시스템즈,KSQ,코스닥
091340,S&K폴리텍,KSQ,코스닥
010950,S-Oil,STK,유가증권
419530,SAMG엔터,KSQ,코스닥
019550,SBI인베스트먼트,KSQ,코스닥
034120,SBS,STK,유가증권
003080,SB성보,STK,유가증권
246960,SCL사이언스,KSQ,코스닥
099220,SDN,KSQ,코스닥
056190,SFA,KSQ,코스닥
222080,SFA넥셀,KSQ,코스닥
036540,SFA반도체,KSQ,코스닥
255220,SG,KSQ,코스닥
040610,SG&G,KSQ,코스닥
184230,SGA솔루션즈,KSQ,코스닥
016250,SGC E&C,KSQ,코스닥
005090,SGC에너지,STK,유가증권
001380,SG글로벌,STK,유가증권
004060,SG세계물산,STK,유가증권
001770,SHD,STK,유가증권
002360,SH에너지화학,STK,유가증권
009160,SIMPAC,STK,유가증권
033530,SJG세종,STK,유가증권
123700,SJM,STK,유가증권
025530,SJM홀딩스,STK,유가증권
034730,SK,STK,유가증권
357880,SKAI,KSQ,코스닥
011790,SKC,STK,유가증권
018670,SK가스,STK,유가증권
001740,SK네트웍스,STK,유가증권
006120,SK디스커버리,STK,유가증권
210980,SK디앤디,STK,유가증권
302440,SK바이오사이언스,STK,유가증권
326030,SK바이오팜,STK,유가증권
402340,SK스퀘어,STK,유가증권
361610,SK아이이테크놀로지,STK,유가증권
100090,SK오션플랜트,STK,유가증권
096770,SK이노베이션,STK,유가증권
475150,SK이터닉스,STK,유가증권
001510,SK증권,STK,유가증권
285130,SK케미칼,STK,유가증권
017670,SK텔레콤,STK,유가증권
000660,SK하이닉스,STK,유가증권
048550,SM C&C,KSQ,코스닥
063440,SM Life Design,KSQ,코스닥
003570,SNT다이내믹스,STK,유가증권
064960,SNT모티브,STK,유가증권
100840,SNT에너지,STK,유가증권
036530,SNT홀딩스,STK,유가증권
067160,SOOP,KSQ,코스닥
000390,SP삼화,STK,유가증권
011810,STX,STK,유가증권
465770,STX그린로지스,STK,유가증권
077970,STX엔진,STK,유가증권
002820,SUN&L,STK,유가증권
289080,SV인베스트먼트,KSQ,코스닥
002170,SYTS,STK,유가증권
041930,SY동아,KSQ,코스닥
084870,TBH글로벌,STK,유가증권
002710,TCC스틸,STK,유가증권
089230,THE E&M,KSQ,코스닥
032540,TJ미디어,KSQ,코스닥
069260,TKG휴켐스,STK,유가증권
007980,TP,STK,유가증권
048770,TPC로보틱스,KSQ,코스닥
246690,TS인베스트먼트,KSQ,코스닥
317240,TS트릴리온,KSQ,코스닥
002900,TYM,STK,유가증권
024070,WISCOM,STK,유가증권
057030,YBM넷,KSQ,코스닥
037270,YG PLUS,STK,유가증권
040300,YTN,KSQ,코스닥
051390,YW,KSQ,코스닥
052220,iMBC,KSQ,코스닥
139130,iM금융지주,STK,유가증권
079940,가비아,KSQ,코스닥
078890,가온그룹,KSQ,코스닥
000500,가온전선,STK,유가증권
399720,가온칩스,KSQ,코스닥
036620,감성코퍼레이션,KSQ,코스닥
000860,강남제비스코,STK,유가증권
198440,강동씨앤엘,KSQ,코스닥
217730,강스템바이오텍,KSQ,코스닥
035250,강원랜드,STK,유가증권
114190,강원에너지,KSQ,코스닥
094480,갤럭시아머니트리,KSQ,코스닥
011420,갤럭시아에스엠,STK,유가증권
039240,경남스틸,KSQ,코스닥
053950,경남제약,KSQ,코스닥
002100,경농,STK,유가증권
009450,경동나비엔,STK,유가증권
267290,경동도시가스,STK,유가증권
012320,경동인베스트,STK,유가증권
011040,경동제약,KSQ,코스닥
000050,경방,STK,유가증권
214390,경보제약,STK,유가증권
012610,경인양행,STK,유가증권
009140,경인전자,STK,유가증권
024910,경창산업,KSQ,코스닥
013580,계룡건설,STK,유가증권
012200,계양전기,STK,유가증권
002140,고려산업,STK,유가증권
049720,고려신용정보,KSQ,코스닥
010130,고려아연,STK,유가증권
002240,고려제강,STK,유가증권
014570,고려제약,KSQ,코스닥
348150,고바이오랩,KSQ,코스닥
950190,고스트스튜디오,KSQ,코스닥
098460,고영,KSQ,코스닥
035290,골드앤에스,KSQ,코스닥
215000,골프존,KSQ,코스닥
121440,골프존홀딩스,KSQ,코스닥
009290,광동제약,STK,유가증권
017040,광명전기,STK,유가증권
029480,광무,KSQ,코스닥
017900,광전자,STK,유가증권
037710,광주신세계,STK,유가증권
026910,광진실업,KSQ,코스닥
030610,교보증권,STK,유가증권
339770,교촌에프앤비,STK,유가증권
053270,구영테크,KSQ,코스닥
007690,국도화학,STK,유가증권
066620,국보디자인,KSQ,코스닥
043650,국순당,KSQ,코스닥
006050,국영지앤엠,KSQ,코스닥
060480,국일신동,KSQ,코스닥
078130,국일제지,KSQ,코스닥
307750,국전,KSQ,코스닥
002720,국제약품,STK,유가증권
035080,그래디언트,KSQ,코스닥
318060,그래피,KSQ,코스닥
453450,그리드위즈,KSQ,코스닥
204020,그리티,KSQ,코스닥
0015G0,그린광학,KSQ,코스닥
