date,equity
2016-01-04,100000000.0
2016-01-05,100000000.0
2016-01-06,100000000.0
2016-01-07,100000000.0
2016-01-08,100000000.0
2016-01-11,100000000.0
2016-01-12,100000000.0
2016-01-13,100000000.0
2016-01-14,100000000.0
2016-01-15,100000000.0
2016-01-18,100000000.0
2016-01-19,100000000.0
2016-01-20,100000000.0
2016-01-21,100000000.0
2016-01-22,100000000.0
2016-01-25,100000000.0
2016-01-26,100000000.0
2016-01-27,100000000.0
2016-01-28,100000000.0
2016-01-29,100000000.0
2016-02-01,100000000.0
2016-02-02,100000000.0
2016-02-03,100000000.0
2016-02-04,100000000.0
2016-02-05,100000000.0
2016-02-11,100000000.0
2016-02-12,100000000.0
2016-02-15,100000000.0
2016-02-16,100000000.0
2016-02-17,100000000.0
2016-02-18,100000000.0
2016-02-19,100000000.0
2016-02-22,100000000.0
2016-02-23,100000000.0
2016-02-24,100000000.0
2016-02-25,100000000.0
2016-02-26,100000000.0
2016-02-29,100000000.0
2016-03-02,99990453.6905916
2016-03-03,99934730.3464916
2016-03-04,99485626.3464916
2016-03-07,99236398.40480807
2016-03-08,99424150.39066912
2016-03-09,100149567.39066912
2016-03-10,100019599.39039412
2016-03-11,99571039.39039412
2016-03-14,99214954.39039412
2016-03-15,99212590.39039412
2016-03-16,99188444.39039412
2016-03-17,99073370.08303413
2016-03-18,99255443.08303413
2016-03-21,99486618.08303413
2016-03-22,99276347.08303413
2016-03-23,99239854.08303413
2016-03-24,98776154.42832312
2016-03-25,98893571.42832312
2016-03-28,99988900.88530062
2016-03-29,100651508.82832062
2016-03-30,101471575.82832062
2016-03-31,101581081.82832062
2016-04-01,99944675.30187577
2016-04-04,98955608.59815577
2016-04-05,99005119.59815577
2016-04-06,99376153.67282078
2016-04-07,99778205.67282078
2016-04-08,99642389.67282078
2016-04-11,99502721.67282078
2016-04-12,99829973.67282078
2016-04-14,100830417.89251578
2016-04-15,98112628.89251578
2016-04-18,96733404.25286797
2016-04-19,96441904.25286797
2016-04-20,95534704.25286797
2016-04-21,95550459.24332297
2016-04-22,95997359.24332297
2016-04-25,95747359.24332297
2016-04-26,95804009.11658296
2016-04-27,96316837.28920797
2016-04-28,95742237.28920797
2016-04-29,95806091.96157297
