code,name,entry_date,exit_date,entry_px,qty,cost,proceeds,pnl,ret,reason,partial_tp,hold_days,entry_r,regime_r,streak_r,capped,success
036570,NC,2016-03-10,2016-03-14,263500.0,47,12398744.032675002,12183974.829,-214769.20367500186,-0.01732185156085248,BEAR_EXIT,False,4,3.0,2.0,1,False,False
004990,롯데지주,2016-03-08,2016-04-01,98971.0,126,12484688.7684519,12540115.8032283,55427.034776400775,0.004439600842630675,MA20_EXIT,False,24,3.0,2.0,1,False,False
161390,한국타이어앤테크놀로지,2016-03-17,2016-04-01,54200.0,230,12480337.769900002,12383385.219,-96952.55090000108,-0.007768423634641574,BEAR_EXIT,False,15,3.0,2.0,1,False,False
000240,한국앤컴퍼니,2016-03-28,2016-04-04,22550.0,561,12665100.0300825,12305615.1669,-359484.8631825,-0.028383894507634483,MA20_EXIT,False,7,3.0,2.0,1,False,False
005830,DB손해보험,2016-03-03,2016-04-06,71500.0,174,12455309.01615,12629856.46104,174547.44488999993,0.014013899186577824,MA20_EXIT,False,34,3.0,2.0,1,False,False
096770,SK이노베이션,2016-03-17,2016-04-18,159400.0,78,12447500.04498,12358283.439106802,-89216.60587319918,-0.00716743165702415,BEAR_EXIT,False,32,3.0,2.0,1,False,False
010950,S-Oil,2016-03-17,2016-04-18,89500.0,139,12454808.441074999,12500837.93871,46029.49763500132,0.0036957210424208194,BEAR_EXIT,False,32,3.0,2.0,1,False,False
032830,삼성생명,2016-04-14,2016-04-18,121000.0,105,12719612.655749999,11654141.42277,-1065471.2329799999,-0.08376601252069932,STOP_INTRA,False,4,3.0,2.0,1,False,False
078930,GS,2016-03-29,2016-04-21,57400.0,222,12757456.13142,12461753.502269998,-295702.62915000133,-0.023178808228211202,MA20_EXIT,False,23,3.0,2.0,1,False,False
120110,코오롱인더,2016-04-06,2016-04-21,75700.0,166,12580653.01493,11834009.59455,-746643.42038,-0.059348542519527904,MA20_EXIT,False,15,3.0,2.0,1,False,False
000240,한국앤컴퍼니,2016-04-14,2016-04-27,23700.0,540,12812719.6197,12114181.1925,-698538.4271999989,-0.054519137851574605,MA20_EXIT,False,13,3.0,2.0,1,False,False
015760,한국전력,2016-04-26,2016-05-17,61400.0,263,16166772.852230001,15917037.034995,-249735.81723500043,-0.01544747486203176,MA20_EXIT,False,21,4.0,3.0,1,False,False
012450,한화에어로스페이스,2016-05-09,2016-05-24,47316.0,259,12268938.908826599,11534389.501263302,-734549.4075632971,-0.0598706549133473,MA20_EXIT,False,15,3.0,2.0,1,False,False
033780,KT&G,2016-04-21,2016-05-25,119000.0,101,12032823.65285,12688483.115699999,655659.4628499988,0.054489243902008364,MA20_EXIT,False,34,3.0,2.0,1,False,False
035420,NAVER,2016-05-09,2016-06-02,140198.0,87,12211254.639483899,12057089.00079105,-154165.63869284838,-0.012624881164493028,MA20_EXIT,False,24,3.0,2.0,1,False,False
021240,코웨이,2016-06-01,2016-06-16,109000.0,112,12222041.0312,11501991.2952,-720049.7359999996,-0.05891403360223401,MA20_EXIT,False,15,3.0,2.0,1,False,False
204320,HL만도,2016-04-29,2016-06-22,37700.0,321,12115618.770255001,14306399.314965,2190780.544709999,0.18082283589911016,MA20_EXIT,True,54,3.0,2.0,1,False,True
073240,금호타이어,2016-06-07,2016-06-24,9880.0,1250,12364204.3525,11328504.255900001,-1035700.096599998,-0.08376601252069915,STOP_INTRA,False,17,3.0,2.0,1,False,False
000120,CJ대한통운,2016-06-10,2016-06-24,228500.0,53,12124428.891575,11361406.97025,-763021.921325,-0.06293260723028425,MA20_EXIT,False,14,3.0,2.0,1,False,False
005930,삼성전자,2016-06-09,2016-06-30,28600.0,432,12369410.33328,12129256.617984,-240153.71529600024,-0.019415130456935742,MA20_EXIT,False,21,3.0,2.0,1,False,False
029780,삼성카드,2016-06-09,2016-07-07,41950.0,294,12347485.144995,11974494.214305,-372990.93068999983,-0.03020784607634779,MA20_EXIT,False,28,3.0,2.0,1,False,False
012750,에스원,2016-07-12,2016-07-25,113500.0,106,12044837.45465,11519938.2303,-524899.2243499998,-0.043578771928330054,BEAR_EXIT,False,13,3.0,2.0,1,False,False
181710,NHN,2016-07-15,2016-07-26,35889.0,336,12072573.318405598,11061301.990658976,-1011271.3277466223,-0.08376601252069918,STOP_INTRA,False,11,3.0,2.0,1,False,False
029780,삼성카드,2016-07-11,2016-07-27,42700.0,280,11969751.193400001,11962629.2961,-7121.897300001234,-0.0005949912562867786,MA20_EXIT,False,16,3.0,2.0,1,False,False
120110,코오롱인더,2016-07-12,2016-08-04,80300.0,150,12058853.55675,13161085.74,1102232.1832500007,0.0914043924708764,BEAR_EXIT,False,23,3.0,2.0,1,False,False
039490,키움증권,2016-07-29,2016-08-19,79100.0,122,9661299.17753,9329813.91693,-331485.2606000006,-0.03431062991724348,MA20_EXIT,False,21,3.0,2.0,1,True,False
012450,한화에어로스페이스,2016-07-05,2016-08-25,52256.0,228,11928071.3103552,13754698.5653676,1826627.2550124004,0.1531368489913904,MA20_EXIT,False,51,3.0,2.0,1,False,False
034220,LG디스플레이,2016-07-19,2016-08-26,27313.0,441,12058886.59470495,12497150.8405989,438264.24589394964,0.03634367422332267,MA20_EXIT,False,38,3.0,2.0,1,False,False
009540,HD한국조선해양,2016-07-28,2016-08-29,114460.0,104,11917531.201576,12057054.1039728,139522.9023968,0.01170736623524419,MA20_EXIT,False,32,3.0,2.0,1,False,False
204320,HL만도,2016-07-28,2016-08-30,51900.0,231,12002689.033335,11746269.02295,-256420.01038500108,-0.02136354692459725,MA20_EXIT,False,33,3.0,2.0,1,False,False
034020,두산에너빌리티,2016-08-05,2016-08-30,20656.0,597,12345815.226544801,12385158.974419048,39343.74787424691,0.003186808416640945,MA20_EXIT,False,25,3.0,2.0,1,False,False
005930,삼성전자,2016-07-29,2016-09-02,30780.0,391,12048822.032247,12436129.267155,387307.23490799963,0.03214482161587461,MA20_EXIT,False,35,3.0,2.0,1,False,False
064350,현대로템,2016-07-21,2016-09-08,20400.0,588,12008996.279280001,13190997.2985,1182001.0192199983,0.09842629573125866,MA20_EXIT,False,49,3.0,2.0,1,False,False
003490,대한항공,2016-09-01,2016-09-13,21062.0,587,12377613.757609101,11340790.408612838,-1036823.348996263,-0.08376601252069923,STOP_INTRA,False,12,3.0,2.0,1,False,False
105560,KB금융,2016-08-29,2016-09-19,38400.0,322,12379021.37472,12055454.832644999,-323566.5420750007,-0.026138297388820807,MA20_EXIT,False,21,3.0,2.0,1,False,False
086790,하나금융지주,2016-08-29,2016-09-19,29350.0,421,12370561.6559525,11690284.5559575,-680277.0999950003,-0.054991609832659674,MA20_EXIT,False,21,3.0,2.0,1,False,False
006260,LS,2016-08-31,2016-09-19,62900.0,197,12405551.853695,11588734.81485,-816817.0388449989,-0.06584286200873116,MA20_EXIT,False,19,3.0,2.0,1,False,False
012330,현대모비스,2016-09-05,2016-10-04,274000.0,45,12344181.349499999,12585288.238875,241106.8893750012,0.01953202748311594,MA20_EXIT,False,29,3.0,2.0,1,False,False
029780,삼성카드,2016-09-01,2016-10-04,50900.0,210,10701293.953349998,10510921.6569,-190372.2964499984,-0.01778965210000638,MA20_EXIT,False,33,3.0,2.0,1,True,False
035420,NAVER,2016-08-31,2016-10-05,169240.0,73,12368729.551178,12434699.4946587,65969.94348069839,0.005333607078053978,MA20_EXIT,False,35,3.0,2.0,1,False,False
001060,JW중외제약,2016-09-23,2016-10-05,65200.0,183,11945323.12974,11413269.6244812,-532053.5052588005,-0.04454073778332199,MA20_EXIT,True,12,3.0,2.0,1,False,True
073240,금호타이어,2016-09-19,2016-10-06,11350.0,1060,12044837.45465,11414250.7236,-630586.7310499996,-0.05235327860788664,MA20_EXIT,False,17,3.0,2.0,1,False,False
